news agency,title,link
Dawn,"Pak-Afghan border fencing issue to be resolved diplomatically, says Qureshi",https://www.dawn.com/news/1667422/pak-afghan-border-fencing-issue-to-be-resolved-diplomatically-says-qureshi
Dawn,FBR 2019 data: PM Imran paid Rs9.8m in taxes while PPP's Yousuf Raza Gillani paid none,https://www.dawn.com/news/1667427/fbr-2019-data-pm-imran-paid-rs98m-in-taxes-while-ppps-yousuf-raza-gillani-paid-none
Dawn,"Missing persons bill has gone 'missing', says Shireen Mazari",https://www.dawn.com/news/1667443/missing-persons-bill-has-gone-missing-says-shireen-mazari
Dawn,Omicron detected in 50pc samples tested in Sindh as part of initiative to gauge strain's prevalence,https://www.dawn.com/news/1667433/omicron-detected-in-50pc-samples-tested-in-sindh-as-part-of-initiative-to-gauge-strains-prevalence
Dawn,Iran vows revenge unless Trump tried for killing General Qasem Soleimani,https://www.dawn.com/news/1667442/iran-vows-revenge-unless-trump-tried-for-killing-general-qasem-soleimani
Dawn,South Africa's Jansen grabs four wickets as India struggle on first day of second Test,https://www.dawn.com/news/1667444/south-africas-jansen-grabs-four-wickets-as-india-struggle-on-first-day-of-second-test
Dawn,"'No regrets, satisfied with career': Mohammad Hafeez retires from international cricket",https://www.dawn.com/news/1667406/no-regrets-satisfied-with-career-mohammad-hafeez-retires-from-international-cricket
Dawn,State to pursue Nazim Jokhio's murder case if relatives agree to a 'compromise': Mazari,https://www.dawn.com/news/1667429/state-to-pursue-nazim-jokhios-murder-case-if-relatives-agree-to-a-compromise-mazari
Dawn,Pakistan reports more than 700 new Covid cases for first time since October 2021,https://www.dawn.com/news/1667409/pakistan-reports-more-than-700-new-covid-cases-for-first-time-since-october-2021
Dawn,PM Imran launches Pak-China Business Investment Forum,https://www.dawn.com/news/1667413/pm-imran-launches-pak-china-business-investment-forum
Dawn,"Society must fight sex crimes, corruption itself: PM",https://www.dawn.com/news/1667250/society-must-fight-sex-crimes-corruption-itself-pm
Dawn,PDM parties fully prepared for Mehngai march: Fazlur Rehman,https://www.dawn.com/news/1667251/pdm-parties-fully-prepared-for-mehngai-march-fazlur-rehman
Dawn,"US spent $14tr on wars in 20 years, $6m on rearing nine goats",https://www.dawn.com/news/1667297/us-spent-14tr-on-wars-in-20-years-6m-on-rearing-nine-goats
Dawn,Booster shots for over 30s from today,https://www.dawn.com/news/1667330/booster-shots-for-over-30s-from-today
