news agency,title,link
WashPost,The mob killing of a factory manager in Pakistan comes amid surge in anti-blasphemy violence,https://www.washingtonpost.com/world/2021/12/24/pakistan-blasphemy-violence-labbaik/
CBC,12 dead in crowd surge at popular Hindu shrine in KashmirWorld |January 1,https://www.cbc.ca/news/world/kashmir-shrine-crowd-surge-1.6301801
Aljazeera,"Gas short­age hits Pak­istan’s ex­ports, adding to eco­nom­ic stress",https://www.aljazeera.com/economy/2022/1/3/gas-shortage-hits-pakistans-exports-adding-to-economic-stress
Aljazeera,Four sol­diers killed in raid on Pak­istan Tal­iban hide­out,https://www.aljazeera.com/news/2021/12/31/four-soldiers-killed-in-raid-on-pakistan-taliban-hideout
Reuters Asia,Pakistan sees most COVID-19 cases in two months; concern about Omicron,https://www.reuters.com/business/healthcare-pharmaceuticals/pakistan-sees-most-covid-19-cases-two-months-concern-about-omicron-2022-01-03/
Gulf News,Pakistan,https://gulfnews.com/world/asia/pakistan
Gulf News,Punjab,https://gulfnews.com/sport/cricket/ipl/punjab-kings
Gulf News,Hyderabad,https://gulfnews.com/sport/cricket/ipl/sunrisers-hyderabad
Gulf News,Pakistani Cinema,https://gulfnews.com/entertainment/pakistani-cinema
Gulf News,Pakistani star Ayeza shares New Year wishes in Dubai,https://gulfnews.com/entertainment/pakistani-cinema/pakistani-stars-mahira-khan-ayeza-khan--humayun-saeed-wish-fans-a-happy-new-year-1.1641204601014
Gulf News,Pakistan: Asian leopard preservation zone inaugurated,https://gulfnews.com/world/asia/pakistan/pakistan-asian-leopard-preservation-zone-inaugurated-in-margalla-hills-national-park-1.84731625
Gulf News,Pakistan sees most COVID-19 cases in two months,https://gulfnews.com/world/asia/pakistan/pakistan-sees-most-covid-19-cases-in-two-months-concern-about-omicron-1.84726293
Gulf News,"Remit money to India, Pakistan in January: Here's why",https://gulfnews.com/your-money/budget-living/uae-expats-get-ready-to-remit-indian-pakistani-rupee-to-start-2022-weaker-philippine-peso-to-strengthen-1.1640783236364
