news agency,title,link
Dawn,"Uproar in NA after 'mini-budget', SBP bill passed in hours-long session",https://www.dawn.com/news/1669225/uproar-in-na-after-mini-budget-sbp-bill-passed-in-hours-long-session
Dawn,South Africa eye victory in third Test despite Pant century for India,https://www.dawn.com/news/1669232/south-africa-eye-victory-in-third-test-despite-pant-century-for-india
Dawn,"‘NDMA failed in its responsibility,’ says IHC chief justice on Murree tragedy",https://www.dawn.com/news/1669201/ndma-failed-in-its-responsibility-says-ihc-chief-justice-on-murree-tragedy
Dawn,Govt asks SC for another 3 weeks to submit APS attack case report,https://www.dawn.com/news/1669215/govt-asks-sc-for-another-3-weeks-to-submit-aps-attack-case-report
Dawn,FO says 'real possibility' of India staging another false flag operation,https://www.dawn.com/news/1669221/fo-says-real-possibility-of-india-staging-another-false-flag-operation
Dawn,Pakistan's new Covid-19 cases jump by 46pc in one day,https://www.dawn.com/news/1669200/pakistans-new-covid-19-cases-jump-by-46pc-in-one-day
Dawn,Australian PM Scott Morrison says no decision yet on Novak Djokovic visa,https://www.dawn.com/news/1669209/australian-pm-scott-morrison-says-no-decision-yet-on-novak-djokovic-visa
Dawn,"TTP confirms senior leader Khurasani’s death, calls it 'huge loss'",https://www.dawn.com/news/1669205/ttp-confirms-senior-leader-khurasanis-death-calls-it-huge-loss
Dawn,Democratic leaders must do more to counter rise of autocrats: Human Rights Watch,https://www.dawn.com/news/1669197/democratic-leaders-must-do-more-to-counter-rise-of-autocrats-human-rights-watch
Dawn,AG asks Punjab to form board on Nawaz’s health,https://www.dawn.com/news/1669108/ag-asks-punjab-to-form-board-on-nawazs-health
Dawn,PDM meeting on 25th to discuss no-confidence option,https://www.dawn.com/news/1669107/pdm-meeting-on-25th-to-discuss-no-confidence-option
Dawn,World Bank notes surprising improvement in Pakistan,https://www.dawn.com/news/1669131/world-bank-notes-surprising-improvement-in-pakistan
Dawn,Panel formed by Sindh High Court wants ban on cryptocurrency,https://www.dawn.com/news/1669106/panel-formed-by-sindh-high-court-wants-ban-on-cryptocurrency
Dawn,PM Imran orders crackdown against urea hoarders,https://www.dawn.com/news/1669104/pm-imran-orders-crackdown-against-urea-hoarders
Dawn,"Snow clearing vehicles parked at Sunny Bank during blizzard, Murree probe learns",https://www.dawn.com/news/1669088/snow-clearing-vehicles-parked-at-sunny-bank-during-blizzard-murree-probe-learns
Dawn,Spain urged to review travel advisory for Pakistan,https://www.dawn.com/news/1669112/spain-urged-to-review-travel-advisory-for-pakistan
Dawn,Four get death in JuD chief’s house blast case,https://www.dawn.com/news/1669169/four-get-death-in-jud-chiefs-house-blast-case
Dawn,"Shehbaz’s daughter, son-in-law declared proclaimed offenders",https://www.dawn.com/news/1669168/shehbazs-daughter-son-in-law-declared-proclaimed-offenders
Dawn,Shehbaz challenges FIA’s money laundering probe,https://www.dawn.com/news/1669170/shehbaz-challenges-fias-money-laundering-probe
The News Intl,"NA passes supplementary finance bill, SBP bill despite Opposition's objections to vote count",https://www.thenews.com.pk/latest/924930-national-assembly-debates-oppositions-amendments-to-mini-budget
The News Intl,Daska by-poll: ECP directs Punjab govt to take action against 60 officers for 'corrupt practices',https://www.thenews.com.pk/latest/924920-daska-by-poll-ecp-directs-punjab-govt-to-take-action-against-60-officers-for-corrupt-practices
The News Intl,Shafqat Mehmood says he has tested positive for coronavirus,https://www.thenews.com.pk/latest/924934-shafqat-mehmood-tests-positive-for-covid-19
The News Intl,PM Imran Khan to attend Beijing Olympics opening ceremony amid boycott by the West,https://www.thenews.com.pk/latest/924896-pm-imran-khan-to-attend-beijing-olympics-2022-opening-ceremony-amid-wests-boycott
The News Intl,IHC holds NDMA responsible for Murree tragedy,https://www.thenews.com.pk/latest/924882-ihc-holds-ndma-responsible-for-murree-tragedy
The News Intl,Murad Raas issues statement about closure of schools in Punjab,https://www.thenews.com.pk/latest/924889-murad-raas-issues-statement-regarding-closure-of-schools-in-punjab
The News Intl,Pakistan revises quarantine policy for inbound passengers,https://www.thenews.com.pk/latest/924881-pakistan-revises-quarantine-policy-for-inbound-passengers
The News Intl,Petrol price expected to hit all-time high of Rs150 per litre in Pakistan: sources,https://www.thenews.com.pk/latest/924872-petrol-price-expected-to-hit-all-time-high-of-rs150-per-litre-in-pakistan-sources
The News Intl,Closure of schools: Meeting of education ministers postponed,https://www.thenews.com.pk/latest/924870-education-ministers-to-decide-fate-of-schools-today-as-pakistan-logs-over-3000-daily-cases
Tribune,"Govt bulldozes mini-budget, SBP bill through NA amid opposition’s protest",https://tribune.com.pk/story/2338552/govt-bulldozes-mini-budget-sbp-bill-through-na-amid-oppositions-protest
Tribune,"PM Imran, Khattak engage in 'heated argument' during parliamentary meeting",https://tribune.com.pk/story/2338577/pm-imran-khattak-engage-in-heated-argument-during-parliamentary-meeting
Tribune,"Pakistan Navy cannot directly file appeal, will need to engage defence secy: IHC",https://tribune.com.pk/story/2338524/pakistan-navy-cannot-directly-file-appeal-will-need-to-engage-defence-secy-ihc
Tribune,Maryam calls for 'any possible means' to oust Imran-led govt,https://tribune.com.pk/story/2338484/maryam-calls-for-any-possible-means-to-oust-imran-led-govt
Tribune,State responsible for Murree tragedy: IHC,https://tribune.com.pk/story/2338518/state-responsible-for-murree-tragedy-ihc
Tribune,Education ministers conference to assess Covid situation postponed,https://tribune.com.pk/story/2338507/education-ministers-conference-to-assess-covid-situation-postponed
Tribune,Karachi Central Jail inmate wins Rs1m scholarship,https://tribune.com.pk/story/2338541/karachi-central-jail-inmate-wins-rs1m-scholarship
Tribune,Submarine cable fault slows internet across Pakistan,https://tribune.com.pk/story/2338550/submarine-cable-fault-slows-internet-across-pakistan-1
Tribune,Second alien moon identified is much like the first: big and strange,https://tribune.com.pk/story/2338575/second-alien-moon-identified-is-much-like-the-first-big-and-strange
Tribune,Britain's MI5 spy service warns lawmakers over Chinese 'agent of influence',https://tribune.com.pk/story/2338578/britains-mi5-spy-service-warns-lawmakers-over-chinese-agent-of-influence
Tribune,"UK's Prince Andrew renounces royal patronages, military affiliations",https://tribune.com.pk/story/2338576/uks-prince-andrew-renounces-royal-patronages-military-affiliations
Tribune,Five shows you need to mark your calendars for in 2022,https://tribune.com.pk/story/2338513/five-shows-you-need-to-mark-your-calendars-for-in-2022
Tribune,Adnan Malik all for Shehzad Roy's efforts to combat population growth,https://tribune.com.pk/story/2338540/adnan-malik-all-for-shehzad-roys-efforts-to-combat-population-growth
Tribune,Karachi Eat to go head with no ticket sales at the venue,https://tribune.com.pk/story/2338531/karachi-eat-to-go-head-with-no-ticket-sales-at-the-venue
Tribune,We drank each other's blood: Megan Fox sums up bizarre engagement to Machine Gun Kelly,https://tribune.com.pk/story/2338536/we-drank-each-others-blood-megan-fox-sums-up-bizarre-engagement-to-machine-gun-kelly
Tribune,Watch: Hareem Shah denies 'laundering' money in a new video,https://tribune.com.pk/story/2338521/watch-hareem-shah-denies-laundering-money-in-a-new-video
Tribune,Market watch: Bears dominate as Covid infections mount,https://tribune.com.pk/story/2338564/market-watch-bears-dominate-as-covid-infections-mount
Tribune,Foreign exchange: SBP reserves fall $88m to $17.6b,https://tribune.com.pk/story/2338557/foreign-exchange-sbp-reserves-fall-88m-to-176b
Tribune,Oil holds near $85 on stronger demand prospects,https://tribune.com.pk/story/2338549/oil-holds-near-85-on-stronger-demand-prospects
Tribune,Another IMF loan may be on the cards,https://tribune.com.pk/story/2338496/another-imf-loan-may-be-on-the-cards
Tribune,Pakistan rapidly adopting digitalisation,https://tribune.com.pk/story/2338467/pakistan-rapidly-adopting-digitalisation
Tribune,UN chief appeals for release of money to save Afghan lives,https://tribune.com.pk/story/2338585/un-chief-appeals-for-release-of-money-to-save-afghan-lives
Tribune,UK banned Huawei because of 'US pressure': former minister,https://tribune.com.pk/story/2338558/uk-banned-huawei-because-of-us-pressure-former-minister
Tribune,Taliban seeking greater role in distribution of foreign aid,https://tribune.com.pk/story/2338556/taliban-seeking-greater-role-in-distribution-of-foreign-aid
Tribune,"White House to discuss software security with Apple, Amazon, IBM execs",https://tribune.com.pk/story/2338538/white-house-to-discuss-software-security-with-apple-amazon-ibm-execs
Tribune,Microsoft has stopped making Xbox One consoles,https://tribune.com.pk/story/2338551/microsoft-has-stopped-making-xbox-one-consoles
Tribune,Microsoft invests $50m in alcohol-to-jet fuel biorefinery,https://tribune.com.pk/story/2338542/microsoft-invests-50m-in-alcohol-to-jet-fuel-biorefinery
